CODIGO_ICCS;TIPO;EDAD;GENERO;NIVEL DE INSTRUCCIÓN;NACIONALIDAD;ETNIA;DELITO ;TIPO DE ARMA;FECHA;HORA;PROVINCIA;CANTON;LATITUD;LONGITUD
1010101;APREHENDIDO;28;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);1/1/2023;17:00:00.0000000;PICHINCHA;QUITO;-0.2550549;-785.536.253
1010101;APREHENDIDO;32;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;1/1/2023;21:10:00.0000000;LOJA;CATAMAYO;-398.757.781;-7.936.147.124
1010101;APREHENDIDO;42;MUJER;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);1/1/2023;17:00:00.0000000;PICHINCHA;QUITO;-0.2550549;-785.536.253
1010101;APREHENDIDO;39;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);1/1/2023;17:00:00.0000000;PICHINCHA;QUITO;-0.2550549;-785.536.253
1010101;APREHENDIDO;25;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;1/1/2023;21:30:00.0000000;LOJA;CATAMAYO;-398.826.848;-7.936.081.074
1010101;APREHENDIDO;18;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;1/1/2023;22:00:00.0000000;LOJA;CATAMAYO;-39.868.229;-793.467.394
1010101;APREHENDIDO;27;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;3/1/2023;19:30:00.0000000;PICHINCHA;QUITO;-0.318097626;-78.555.829.525
1010902;DETENIDO;29;HOMBRE;TERCER NIVEL TÉCNICO-TECNOLÓGICO Y DE GRADO;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;3/1/2023;17:00:00.0000000;PICHINCHA;QUITO;-0.137281529;-78.356.262.445
1010201;APREHENDIDO;29;HOMBRE;NO APLICA;ECUATORIANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;4/1/2023;16:30:00.0000000;NAPO;TENA;-1.000.858.841;-77.814.333.259
1010201;APREHENDIDO;23;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;4/1/2023;15:00:00.0000000;GUAYAS;GUAYAQUIL;-22.246.635;-799.456.905
1010201;APREHENDIDO;29;MUJER;NO APLICA;ECUATORIANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;4/1/2023;15:00:00.0000000;NAPO;TENA;-1.000.912.746;-77.810.916.097
